TSI NanoScan SMPS Model 3910
Mode,Scan
Serial Number,3910161901
Last Calibrated,2022/03/15


dN (#/cm3)

File Index,Sample #,Date Time,11.5,15.4,20.5,27.4,36.5,48.7,64.9,86.6,115.5,154.0,205.4,273.8,365.2,Total Conc,Median (nm),Mean (nm),Geo Mean (nm),Mode (nm),GSD,Particle Density (g/cc),Firmware Version,Status
1,1,2023/2/2 11:17:35,8.2982e+4,1.2560e+5,1.2858e+5,3.1697e+5,4.1736e+5,4.5685e+5,4.7334e+5,4.8109e+5,3.8708e+5,1.8997e+5,0.0000,0.0000,0.0000,305.9811,56.8805,64.7270,53.5115,86.5964,1.9121,1.2000,1.4,No errors
1,2,2023/2/2 11:18:36,1.0501e+5,8.7081e+4,7.6577e+4,3.5507e+5,4.1541e+5,3.9031e+5,4.1051e+5,5.1208e+5,4.7146e+5,2.2735e+5,0.0000,0.0000,0.0000,305.0846,61.2475,68.3354,56.2573,86.5964,1.9377,1.2000,1.4,No errors
1,3,2023/2/2 11:19:36,3075.0000,3.0805e+4,1.2599e+5,2.5870e+5,3.6118e+5,4.5409e+5,5.1549e+5,5.0228e+5,3.3771e+5,1.0442e+5,0.0000,0.0000,0.0000,269.3741,60.9725,65.9054,57.5030,64.9382,1.7138,1.2000,1.4,No errors
1,4,2023/2/2 11:20:36,2.6347e+4,9.9284e+4,1.5927e+5,2.4494e+5,3.6889e+5,4.6795e+5,4.9131e+5,4.2005e+5,2.9836e+5,1.5713e+5,2.6506e+4,0.0000,0.0000,276.0031,57.3316,65.3771,54.7416,64.9382,1.8499,1.2000,1.4,No errors
1,5,2023/2/2 11:21:36,6.4888e+4,1.0320e+5,2.0929e+5,3.4075e+5,3.3018e+5,3.4658e+5,4.6206e+5,6.0276e+5,5.3976e+5,2.5683e+5,0.0000,0.0000,0.0000,325.6291,66.3837,70.3205,57.7923,86.5964,1.9503,1.2000,1.4,No errors
1,6,2023/2/2 11:22:36,1.4926e+5,6.8263e+4,4.2244e+4,4.3508e+5,4.9673e+5,4.0032e+5,3.6495e+5,4.9283e+5,5.0204e+5,2.8858e+5,883.0000,0.0000,0.0000,324.1183,58.3073,68.5436,55.6476,115.4782,1.9793,1.2000,1.4,No errors
1,7,2023/2/2 11:23:36,5.6112e+4,1.0269e+5,1.3333e+5,2.5420e+5,3.9043e+5,5.0694e+5,5.6204e+5,5.2263e+5,3.6834e+5,1.4946e+5,0.0000,0.0000,0.0000,304.6166,59.4941,65.0584,55.1655,64.9382,1.8305,1.2000,1.4,No errors
1,8,2023/2/2 11:24:36,1.1833e+6,1.7746e+6,1.0400e+6,8.3148e+5,6.6156e+5,5.4362e+5,5.5988e+5,6.2784e+5,4.9980e+5,1.9329e+5,0.0000,0.0000,0.0000,791.5380,23.7279,39.6641,28.8767,15.3993,2.1486,1.2000,1.4,No errors
1,9,2023/2/2 11:25:36,1.1033e+6,1.3641e+6,5.7488e+5,5.3093e+5,5.5577e+5,5.6893e+5,6.2002e+5,6.6547e+5,4.9875e+5,1.4987e+5,0.0000,0.0000,0.0000,663.1913,28.0802,43.2232,31.1863,15.3993,2.2307,1.2000,1.4,No errors
1,10,2023/2/2 11:26:36,8.3529e+5,9.5000e+5,5.7366e+5,6.4536e+5,5.9110e+5,4.4935e+5,4.0030e+5,4.6375e+5,4.5422e+5,2.8464e+5,4.3354e+4,0.0000,0.0000,569.1024,29.9845,47.1861,33.2685,15.3993,2.2752,1.2000,1.4,No errors
1,11,2023/2/2 11:27:36,5.3447e+5,6.7278e+5,3.5186e+5,5.0200e+5,5.3105e+5,4.8707e+5,4.8571e+5,5.4815e+5,4.6676e+5,2.0447e+5,0.0000,0.0000,0.0000,478.4302,38.5937,51.2115,37.9288,15.3993,2.2114,1.2000,1.4,No errors
1,12,2023/2/2 11:28:36,2.5330e+5,4.4714e+5,3.3902e+5,5.0460e+5,5.6289e+5,5.5617e+5,5.4357e+5,5.4119e+5,4.0390e+5,1.5484e+5,0.0000,0.0000,0.0000,430.6606,43.7916,53.6102,42.0742,36.5174,2.0511,1.2000,1.4,No errors
1,13,2023/2/2 11:29:36,3.1915e+5,4.6355e+5,2.4187e+5,2.8418e+5,4.2791e+5,5.7424e+5,6.4229e+5,5.8014e+5,3.4578e+5,7.6036e+4,0.0000,0.0000,0.0000,395.5127,48.5690,53.2848,42.0160,64.9382,2.0735,1.2000,1.4,No errors
1,14,2023/2/2 11:30:36,2.3956e+5,3.6665e+5,2.5103e+5,4.1919e+5,4.7571e+5,4.9483e+5,5.4071e+5,6.0427e+5,4.9506e+5,2.1352e+5,0.0000,0.0000,0.0000,410.0537,51.1684,59.5055,46.5474,86.5964,2.0928,1.2000,1.4,Filling reservoir
1,15,2023/2/2 11:31:36,3.0130e+5,3.1360e+5,2.5284e+5,4.6208e+5,4.8867e+5,4.4839e+5,4.7582e+5,5.7391e+5,5.2861e+5,2.7521e+5,0.0000,0.0000,0.0000,412.0421,50.2678,60.6383,46.6265,86.5964,2.1460,1.2000,1.4,Filling reservoir
1,16,2023/2/2 11:32:36,2.3277e+5,3.7449e+5,2.3059e+5,2.6543e+5,4.7654e+5,6.6542e+5,6.9189e+5,5.1954e+5,2.5839e+5,4.3091e+4,0.0000,0.0000,0.0000,375.8137,48.9979,52.3287,42.8095,64.9382,1.9572,1.2000,1.4,No errors
1,17,2023/2/2 11:33:37,3.2633e+5,4.5889e+5,2.7776e+5,3.6104e+5,4.8044e+5,5.7012e+5,6.0008e+5,5.4417e+5,3.4663e+5,9.5366e+4,0.0000,0.0000,0.0000,406.0826,45.7464,52.3386,41.0989,64.9382,2.0697,1.2000,1.4,No errors
1,18,2023/2/2 11:34:37,1.4679e+5,2.3964e+5,2.0405e+5,2.9763e+5,4.8746e+5,6.4311e+5,6.7319e+5,5.4730e+5,3.3616e+5,1.1267e+5,0.0000,0.0000,0.0000,368.7990,52.9576,58.0594,48.0907,64.9382,1.9120,1.2000,1.4,No errors
1,19,2023/2/2 11:35:37,2.2311e+5,2.7435e+5,2.3522e+5,3.7057e+5,4.8243e+5,5.6665e+5,6.2356e+5,6.1182e+5,4.4266e+5,1.6331e+5,0.0000,0.0000,0.0000,399.3670,52.9178,59.2761,47.6077,64.9382,2.0158,1.2000,1.4,No errors
1,20,2023/2/2 11:36:36,2.2374e+5,2.1824e+5,1.1901e+5,3.7220e+5,5.5593e+5,5.8373e+5,5.0785e+5,4.1979e+5,3.3710e+5,2.1131e+5,4.7083e+4,0.0000,0.0000,359.5981,50.1262,60.5607,47.8865,48.6968,2.0368,1.2000,1.4,No errors
1,21,2023/2/2 11:37:36,1.4896e+5,2.4493e+5,1.8245e+5,2.5147e+5,4.4792e+5,6.1590e+5,6.4855e+5,5.1838e+5,3.2332e+5,1.3554e+5,0.0000,0.0000,0.0000,351.7425,53.7506,59.0455,48.5959,64.9382,1.9363,1.2000,1.4,No errors
1,22,2023/2/2 11:38:36,1.5729e+5,1.5230e+5,1.6555e+5,2.4950e+5,4.7636e+5,6.5570e+5,6.6724e+5,4.7592e+5,2.2617e+5,3.4163e+4,0.0000,0.0000,0.0000,326.0183,51.9065,55.1011,46.8686,64.9382,1.8322,1.2000,1.4,No errors
1,23,2023/2/2 11:39:37,1.8889e+5,3.8426e+5,3.8614e+5,4.8025e+5,4.5361e+5,4.7436e+5,5.9653e+5,7.2382e+5,5.8836e+5,2.1599e+5,0.0000,0.0000,0.0000,449.2201,53.1807,60.4303,47.5230,86.5964,2.0760,1.2000,1.4,No errors
1,24,2023/2/2 11:40:37,1.4997e+5,2.3232e+5,1.9897e+5,3.2526e+5,4.4381e+5,5.3747e+5,5.9165e+5,5.7622e+5,4.3462e+5,1.9012e+5,0.0000,0.0000,0.0000,368.0418,55.5589,62.0765,50.3938,64.9382,1.9823,1.2000,1.4,No errors
1,25,2023/2/2 11:41:37,8.4456e+4,1.6538e+5,1.5267e+5,2.7942e+5,4.0748e+5,4.9794e+5,5.2554e+5,4.8345e+5,3.5021e+5,1.6707e+5,8002.0000,0.0000,0.0000,312.1615,56.0601,63.1858,52.1508,64.9382,1.9172,1.2000,1.4,No errors
