TSI NanoScan SMPS Model 3910
Mode,Scan
Serial Number,3910153602
Last Calibrated,2022/03/15


dN (#/cm3)

File Index,Sample #,Date Time,11.5,15.4,20.5,27.4,36.5,48.7,64.9,86.6,115.5,154.0,205.4,273.8,365.2,Total Conc,Median (nm),Mean (nm),Geo Mean (nm),Mode (nm),GSD,Particle Density (g/cc),Firmware Version,Status
1,20,2023/2/2 11:36:31,1.0983e+5,1.3761e+5,1.6331e+5,3.1279e+5,4.0476e+5,4.6961e+5,5.2587e+5,5.4500e+5,4.3169e+5,1.9608e+5,0.0000,0.0000,0.0000,329.6546,58.6324,65.0212,53.4906,86.5964,1.9391,1.2000,1.4,No errors
1,21,2023/2/2 11:37:31,1.6147e+5,1.8802e+5,7.9909e+4,2.5888e+5,3.9221e+5,4.7891e+5,5.3477e+5,5.5810e+5,4.4945e+5,1.9807e+5,0.0000,0.0000,0.0000,329.9808,60.0240,65.6384,53.5185,86.5964,1.9884,1.2000,1.4,No errors
1,22,2023/2/2 11:38:31,6.0743e+4,1.3620e+5,1.3614e+5,2.4288e+5,3.5156e+5,4.4226e+5,4.9288e+5,4.8354e+5,3.8708e+5,2.0772e+5,1.2061e+4,0.0000,0.0000,295.3059,60.9218,67.6123,55.9151,64.9382,1.9172,1.2000,1.4,No errors
1,23,2023/2/2 11:39:31,2.5070e+5,3.4866e+5,2.2202e+5,2.1251e+5,3.9352e+5,5.8014e+5,6.3122e+5,4.8209e+5,2.3881e+5,2.9996e+4,0.0000,0.0000,0.0000,338.9672,49.1575,51.9810,42.1478,64.9382,1.9917,1.2000,1.4,No errors
1,24,2023/2/2 11:40:31,3.2670e+4,1.2733e+5,1.8887e+5,2.6621e+5,2.9546e+5,3.7997e+5,5.1519e+5,6.0725e+5,4.8531e+5,1.8740e+5,0.0000,0.0000,0.0000,308.5664,66.0985,69.2694,57.9664,86.5964,1.8900,1.2000,1.4,No errors
1,25,2023/2/2 11:41:32,1.2785e+5,1.4030e+5,1.0300e+5,2.0592e+5,3.8908e+5,5.2849e+5,5.5012e+5,4.4015e+5,2.5952e+5,8.7687e+4,0.0000,0.0000,0.0000,283.2117,54.7046,59.5478,49.9467,64.9382,1.8793,1.2000,1.4,No errors
1,26,2023/2/2 11:42:31,5.5881e+4,1.0380e+5,1.2524e+5,1.3784e+5,2.7628e+5,4.5942e+5,5.6595e+5,5.0229e+5,2.9083e+5,6.0170e+4,0.0000,0.0000,0.0000,257.7689,61.1835,63.6809,54.8242,64.9382,1.7990,1.2000,1.4,No errors
1,27,2023/2/2 11:43:32,3.1745e+4,8.7767e+4,1.4916e+5,2.2259e+5,3.2855e+5,4.5081e+5,5.2816e+5,4.9468e+5,3.1109e+5,7.7414e+4,0.0000,0.0000,0.0000,268.1959,59.3419,63.3147,54.3851,64.9382,1.7869,1.2000,1.4,No errors
1,28,2023/2/2 11:44:32,8.8625e+4,8.4856e+4,1.1169e+5,2.4002e+5,3.4153e+5,4.2837e+5,4.9080e+5,4.8653e+5,3.3392e+5,8.8076e+4,0.0000,0.0000,0.0000,269.4416,58.8297,63.3367,53.4893,64.9382,1.8563,1.2000,1.4,No errors
1,29,2023/2/2 11:45:32,5.0736e+4,7.1401e+4,1.2566e+5,2.5960e+5,3.2489e+5,3.7310e+5,4.3144e+5,4.7354e+5,4.0518e+5,2.0705e+5,0.0000,0.0000,0.0000,272.2608,63.6656,69.4577,58.0500,86.5964,1.8836,1.2000,1.4,No errors
